"DateTime","Germany, Base","Germany, Peak"
"2001-10-19 00:00:00",24.3,29.12
"2001-10-20 00:00:00",20.49,22.87
"2001-10-21 00:00:00",18.34,21.27
"2001-10-22 00:00:00",23.91,31.05
"2001-10-23 00:00:00",27.7,33.09
"2001-10-24 00:00:00",27.87,34.52
"2001-10-25 00:00:00",28.77,35.5
"2001-10-26 00:00:00",23.14,28.12
"2001-10-27 00:00:00",20.04,25.49
"2001-10-28 00:00:00",15.21,19.22
"2001-10-29 00:00:00",32.14,43.58
"2001-10-30 00:00:00",25.46,35.17
"2001-10-31 00:00:00",20.99,28.37
"2001-11-01 00:00:00",17.53,20.34
"2001-11-02 00:00:00",22.86,29.52
"2001-11-03 00:00:00",21.36,25.6
"2001-11-04 00:00:00",16.93,20.37
"2001-11-05 00:00:00",27.45,36.1
"2001-11-06 00:00:00",25.45,33.32
"2001-11-07 00:00:00",28.13,34.71
"2001-11-08 00:00:00",26.67,34.39
"2001-11-09 00:00:00",30.3,37.28
"2001-11-10 00:00:00",23.88,26.55
"2001-11-11 00:00:00",19.28,20.08
"2001-11-12 00:00:00",27.61,36.2
"2001-11-13 00:00:00",45.62,65.09
"2001-11-14 00:00:00",41.6,56.5
"2001-11-15 00:00:00",36.02,45.22
"2001-11-16 00:00:00",40.13,50.39
"2001-11-17 00:00:00",33.51,37.53
"2001-11-18 00:00:00",24.26,28.14
"2001-11-19 00:00:00",35.47,45.65
"2001-11-20 00:00:00",37.81,48.01
"2001-11-21 00:00:00",35.95,45.52
"2001-11-22 00:00:00",32.47,40.7
"2001-11-23 00:00:00",37.15,47
"2001-11-24 00:00:00",25.39,29.25
"2001-11-25 00:00:00",17.54,19.37
"2001-11-26 00:00:00",34.28,45.61
"2001-11-27 00:00:00",33.09,42.5
"2001-11-28 00:00:00",31.42,40.98
"2001-11-29 00:00:00",31.01,39.38
"2001-11-30 00:00:00",26.65,33.37
"2001-12-01 00:00:00",16.5,21.52
"2001-12-02 00:00:00",15.7,18.85
"2001-12-03 00:00:00",37.11,54.93
"2001-12-04 00:00:00",32,43.8
"2001-12-05 00:00:00",27.77,35.25
"2001-12-06 00:00:00",26.28,33.63
"2001-12-07 00:00:00",29.22,36.4
"2001-12-08 00:00:00",25.99,29.44
"2001-12-09 00:00:00",20.73,23.31
"2001-12-10 00:00:00",63.61,103.12
"2001-12-11 00:00:00",45.03,63.51
"2001-12-12 00:00:00",57.81,83.78
"2001-12-13 00:00:00",55.17,79.18
"2001-12-14 00:00:00",58.07,80.9
"2001-12-15 00:00:00",36.49,41.43
"2001-12-16 00:00:00",25.51,27.55
"2001-12-17 00:00:00",240.26,445.09
"2001-12-18 00:00:00",172.97,274.8
"2001-12-19 00:00:00",41.61,52.12
"2001-12-20 00:00:00",53.9,72.03
"2001-12-21 00:00:00",29.81,34.86
"2001-12-22 00:00:00",30.05,34.82
"2001-12-23 00:00:00",23.46,25.7
"2001-12-24 00:00:00",21.98,27.02
"2001-12-25 00:00:00",15.49,17.17
"2001-12-26 00:00:00",17.75,20.22
"2001-12-27 00:00:00",27.8,37.83
"2001-12-28 00:00:00",14.65,17.99
"2001-12-29 00:00:00",18.84,21.96
"2001-12-30 00:00:00",17.49,19.24
"2001-12-31 00:00:00",22.07,27.78
"2002-01-01 00:00:00",14.93,14.75
